pin,community,longitude,latitude
17-34-312-045-0000,DOUGLAS,-87.61815324329027,41.82789440049423
17-34-309-019-0000,DOUGLAS,-87.62138273737452,41.829773017680886
17-27-310-093-1176,DOUGLAS,-87.62257654590499,41.84022915750865
17-28-408-018-0000,DOUGLAS,-87.62883831891637,41.84460145143884
17-27-310-093-1576,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-219-150-1254,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-104-040-0000,DOUGLAS,-87.61974857238319,41.83668412986265
17-34-323-053-0000,DOUGLAS,-87.62206352393213,41.824849274320194
17-34-225-003-1214,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-309-021-0000,DOUGLAS,-87.62138062726217,41.82967536362765
17-27-310-093-1485,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-314-010-0000,DOUGLAS,-87.61779238608511,41.84180614395972
17-34-110-030-0000,DOUGLAS,-87.62100345659755,41.83608354519558
17-34-219-150-1391,DOUGLAS,-87.60982043539205,41.83183517544448
17-33-423-020-4029,DOUGLAS,-87.62724277781336,41.8304366192146
17-27-304-102-0000,DOUGLAS,-87.62284376545806,41.84352615732647
17-34-429-001-0000,DOUGLAS,-87.61386628467365,41.82457357178821
17-34-318-049-0000,DOUGLAS,-87.61836633890746,41.82603338410675
17-34-225-003-1308,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-225-003-1222,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-307-023-0000,DOUGLAS,-87.62491390007996,41.82847307006034
17-34-225-003-1102,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-312-047-0000,DOUGLAS,-87.61779983897563,41.83084833143024
17-34-219-150-1139,DOUGLAS,-87.60982043539205,41.83183517544448
17-33-423-023-4005,DOUGLAS,-87.62713290912751,41.83073434249028
17-34-219-150-1345,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-123-040-0000,DOUGLAS,-87.61778555918582,41.83211526128034
17-27-305-136-0000,DOUGLAS,-87.62156344989751,41.84433099725973
17-27-305-140-1075,DOUGLAS,-87.62145362762868,41.84519077284946
17-27-310-093-1044,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-305-140-1164,DOUGLAS,-87.62145362762868,41.84519077284946
17-34-225-003-1176,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-121-003-0000,DOUGLAS,-87.62025018770345,41.83357602045211
17-34-324-007-0000,DOUGLAS,-87.621251328566,41.825012391243504
17-34-103-074-1006,DOUGLAS,-87.62154594725129,41.8380917408505
17-34-312-040-0000,DOUGLAS,-87.61815861745745,41.82818955216707
17-27-310-093-1285,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-123-011-0000,DOUGLAS,-87.6178225891779,41.83397238715305
17-34-102-051-1085,DOUGLAS,-87.62267010705712,41.83683249550295
17-27-308-063-0000,DOUGLAS,-87.62630880546679,41.83986330115284
17-34-120-083-0000,DOUGLAS,-87.6209011120249,41.83146950113656
17-34-120-023-0000,DOUGLAS,-87.62144757786533,41.8327480120923
17-27-306-031-0000,DOUGLAS,-87.61996468121704,41.84280185671285
17-34-310-057-0000,DOUGLAS,-87.61966444909667,41.83039532034523
17-34-121-006-0000,DOUGLAS,-87.62024724831538,41.83343747157976
17-34-123-022-0000,DOUGLAS,-87.61780689752206,41.83321543406401
17-34-309-115-0000,DOUGLAS,-87.62084073057376,41.828384941897006
17-34-308-017-0000,DOUGLAS,-87.62202963594704,41.82861496754163
17-34-328-035-0000,DOUGLAS,-87.6239275031432,41.826756691860886
17-34-113-037-0000,DOUGLAS,-87.61787424051124,41.8363314136208
17-34-225-003-1244,DOUGLAS,-87.61216093417855,41.835709439299855
17-27-310-093-1338,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-219-150-1278,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-105-023-0000,DOUGLAS,-87.61918366299142,41.83669929527603
17-34-310-102-0000,DOUGLAS,-87.6196094236895,41.8277599110526
17-34-225-003-1158,DOUGLAS,-87.61216093417855,41.835709439299855
17-27-300-062-0000,DOUGLAS,-87.6264959205077,41.84368157593767
17-27-305-141-0000,DOUGLAS,-87.6212595966966,41.84329801967102
17-34-122-001-0000,DOUGLAS,-87.61905163509294,41.8346261156616
17-27-310-093-1297,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-310-093-1326,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-225-003-1142,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-121-040-0000,DOUGLAS,-87.61973166290878,41.833668327784686
17-34-122-084-0000,DOUGLAS,-87.61851060543302,41.83319827166968
17-34-400-042-0000,DOUGLAS,-87.6164848319495,41.82770669283079
17-34-302-034-0000,DOUGLAS,-87.62196281753492,41.82982471719022
17-34-308-022-0000,DOUGLAS,-87.6221115678362,41.82829167807893
17-33-422-002-0000,DOUGLAS,-87.62867193766824,41.83044456756453
17-34-219-150-1372,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-116-043-1004,DOUGLAS,-87.62288178270276,41.83441607351229
17-34-323-072-1002,DOUGLAS,-87.62266988378668,41.82602865720772
17-34-400-095-1003,DOUGLAS,-87.61651554205235,41.82925474664443
17-27-310-093-1537,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-103-044-0000,DOUGLAS,-87.62123342618398,41.83659735823876
17-34-122-034-0000,DOUGLAS,-87.61901489732502,41.83283712055045
17-34-403-018-0000,DOUGLAS,-87.61294736147597,41.82955488578583
17-34-324-008-0000,DOUGLAS,-87.62124982878628,41.8249464769896
17-34-225-003-1004,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-402-069-0000,DOUGLAS,-87.61416555666001,41.83057753667025
17-34-225-003-1063,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-319-022-1017,DOUGLAS,-87.61767310207496,41.827240260204704
17-34-311-094-0000,DOUGLAS,-87.61893480147606,41.82961478952244
17-27-310-093-1419,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-305-140-1013,DOUGLAS,-87.62145362762868,41.84519077284946
17-34-219-150-1071,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-120-085-0000,DOUGLAS,-87.62089822963615,41.831333860808506
17-27-300-055-1005,DOUGLAS,-87.62548373222673,41.8453061296689
17-27-310-093-1518,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-225-003-1339,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-105-002-0000,DOUGLAS,-87.61912671713908,41.83804989962869
17-27-310-093-1504,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-312-063-0000,DOUGLAS,-87.61774297912896,41.82916644717334
17-27-302-025-0000,DOUGLAS,-87.62561648529079,41.84316217725154
17-27-310-093-1081,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-310-093-1194,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-427-017-0000,DOUGLAS,-87.61224927860654,41.82647171289378
17-34-309-098-0000,DOUGLAS,-87.62075698401166,41.82768992828945
17-34-225-003-1240,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-219-150-1170,DOUGLAS,-87.60982043539205,41.83183517544448
17-27-305-140-1187,DOUGLAS,-87.62145362762868,41.84519077284946
17-34-102-051-1062,DOUGLAS,-87.62267010705712,41.83683249550295
17-34-104-005-0000,DOUGLAS,-87.62025807594814,41.83767531421368
17-34-219-150-1322,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-310-004-0000,DOUGLAS,-87.619978605736,41.8308191288495
17-34-306-036-0000,DOUGLAS,-87.6253872092854,41.827773131134
17-34-315-008-0000,DOUGLAS,-87.6228780514544,41.82700724711434
17-34-103-049-0000,DOUGLAS,-87.62152908728223,41.837350482436165
17-34-309-007-0000,DOUGLAS,-87.62079446027616,41.8308076911996
17-34-310-080-0000,DOUGLAS,-87.6196339009039,41.828932408255845
17-34-310-123-0000,DOUGLAS,-87.62014973057305,41.82895380708345
17-27-320-040-0000,DOUGLAS,-87.61906182771979,41.83934211337074
17-34-219-150-1115,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-310-046-0000,DOUGLAS,-87.62013051535679,41.82804706405501
17-27-310-093-1199,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-302-012-0000,DOUGLAS,-87.62281697014149,41.8303342908918
17-34-110-029-0000,DOUGLAS,-87.62100497081263,41.83615230017156
17-27-310-093-1009,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-323-071-1003,DOUGLAS,-87.62267171397035,41.82609724736001
17-34-318-060-0000,DOUGLAS,-87.61850576368707,41.82584355356142
17-33-423-023-4023,DOUGLAS,-87.62713290912751,41.83073434249028
17-27-310-093-1566,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-305-140-1102,DOUGLAS,-87.62145362762868,41.84519077284946
17-27-310-093-1411,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-321-002-0000,DOUGLAS,-87.62601585576604,41.8252852500076
17-34-327-005-0000,DOUGLAS,-87.6179686403659,41.82403269763557
17-34-106-038-0000,DOUGLAS,-87.61788429530472,41.8367712998465
17-33-423-022-4019,DOUGLAS,-87.62685014528044,41.83025464641525
17-33-423-020-4058,DOUGLAS,-87.62724277781336,41.8304366192146
17-34-219-150-1067,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-103-074-1004,DOUGLAS,-87.62154594725129,41.8380917408505
17-27-310-093-1347,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-122-009-0000,DOUGLAS,-87.61906987791888,41.83417684284636
17-34-224-045-0000,DOUGLAS,-87.61320869660456,41.836565514708205
17-27-305-140-1107,DOUGLAS,-87.62145362762868,41.84519077284946
17-34-104-025-0000,DOUGLAS,-87.61976457328137,41.83744946739254
17-28-410-014-0000,DOUGLAS,-87.62751659381158,41.8449827400849
17-34-122-093-0000,DOUGLAS,-87.61849940248135,41.83266111980329
17-34-305-009-0000,DOUGLAS,-87.62204568309468,41.82926984750971
17-34-225-003-1045,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-219-150-1316,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-123-027-0000,DOUGLAS,-87.61780052654902,41.83290627871239
17-34-318-017-0000,DOUGLAS,-87.61888442848948,41.82623394898515
17-34-323-017-0000,DOUGLAS,-87.62268575157412,41.825194400964506
17-34-303-002-0000,DOUGLAS,-87.62596413294997,41.82937095557767
17-27-310-093-1516,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-310-130-0000,DOUGLAS,-87.61962354446854,41.82843366380224
17-27-310-093-1509,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-323-018-0000,DOUGLAS,-87.62268437779406,41.825139534548185
17-27-321-030-0000,DOUGLAS,-87.61844351173033,41.83993284303827
17-34-224-049-0000,DOUGLAS,-87.61281804549208,41.83634838129297
17-34-120-016-0000,DOUGLAS,-87.62145582914756,41.833203842783774
17-33-423-020-4023,DOUGLAS,-87.62724277781336,41.8304366192146
17-34-225-003-1301,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-106-032-1024,DOUGLAS,-87.61791130221896,41.83804538048744
17-34-326-011-0000,DOUGLAS,-87.61890912219232,41.82487661889807
17-34-224-023-0000,DOUGLAS,-87.61202445501932,41.83639301481655
17-34-305-004-0000,DOUGLAS,-87.6227380357287,41.82899621536543
17-34-123-061-0000,DOUGLAS,-87.61779388224653,41.83258777415814
17-34-312-012-0000,DOUGLAS,-87.61819042195314,41.82993565064622
17-34-500-002-0000,DOUGLAS,-87.62605668084143,41.83805130238154
17-34-312-069-0000,DOUGLAS,-87.61773357508872,41.82867342497921
17-34-219-150-1061,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-322-051-1002,DOUGLAS,-87.62436523401377,41.8248515936138
17-27-300-028-0000,DOUGLAS,-87.62573505544852,41.8438258288313
17-27-300-061-1005,DOUGLAS,-87.62605720493671,41.845296940584696
17-34-120-068-0000,DOUGLAS,-87.62092254365443,41.8324864964554
17-33-423-023-4061,DOUGLAS,-87.62713290912751,41.83073434249028
17-34-225-003-1329,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-310-067-0000,DOUGLAS,-87.619650492188,41.829726318508165
17-34-327-039-0000,DOUGLAS,-87.6176069776064,41.82510515512484
17-34-309-123-1002,DOUGLAS,-87.62084364363663,41.828657178608864
17-34-324-017-0000,DOUGLAS,-87.62123698965247,41.82435343294478
17-34-324-018-0000,DOUGLAS,-87.62123600370504,41.82428752745264
17-34-225-003-1101,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-310-137-1009,DOUGLAS,-87.61964167199297,41.82930576904445
17-34-225-003-1066,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-219-078-0000,DOUGLAS,-87.60840331431203,41.8316280544722
17-27-305-140-1044,DOUGLAS,-87.62145362762868,41.84519077284946
17-27-310-093-1647,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-307-016-0000,DOUGLAS,-87.61836424722692,41.8434794791674
17-34-308-021-0000,DOUGLAS,-87.62211313036313,41.82836111838374
17-34-219-150-1131,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-403-024-0000,DOUGLAS,-87.61222287547332,41.82956504778779
17-33-423-020-4053,DOUGLAS,-87.62724277781336,41.8304366192146
17-34-312-030-0000,DOUGLAS,-87.61816884266209,41.82875101044021
17-27-305-140-1144,DOUGLAS,-87.62145362762868,41.84519077284946
17-34-326-043-0000,DOUGLAS,-87.6189330606961,41.82402071266118
17-34-219-150-1223,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-225-003-1184,DOUGLAS,-87.61216093417855,41.835709439299855
17-27-306-069-0000,DOUGLAS,-87.61924654792782,41.84301342341716
17-34-106-032-1040,DOUGLAS,-87.61791130221896,41.83804538048744
17-27-304-158-0000,DOUGLAS,-87.62307620860622,41.84452455767733
17-34-219-045-0000,DOUGLAS,-87.60913311769816,41.83315886251556
17-34-320-011-0000,DOUGLAS,-87.62527718208642,41.82606872982474
17-34-320-020-0000,DOUGLAS,-87.62527316410117,41.82558780260622
17-27-305-140-1121,DOUGLAS,-87.62145362762868,41.84519077284946
17-34-219-150-1174,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-219-150-1079,DOUGLAS,-87.60982043539205,41.83183517544448
17-27-310-093-1174,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-305-140-1089,DOUGLAS,-87.62145362762868,41.84519077284946
17-34-219-150-1267,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-120-098-0000,DOUGLAS,-87.62092680916064,41.83267782227381
17-34-120-025-0000,DOUGLAS,-87.62144481832087,41.83261783377705
17-27-310-093-1430,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-312-078-0000,DOUGLAS,-87.61771975417373,41.82794400568984
17-34-225-003-1024,DOUGLAS,-87.61216093417855,41.835709439299855
17-27-310-088-0000,DOUGLAS,-87.62247458483301,41.841960028673086
17-34-123-005-0000,DOUGLAS,-87.61783378418573,41.834413965365314
17-33-223-044-0000,DOUGLAS,-87.62867646428583,41.831252593641295
17-34-328-022-0000,DOUGLAS,-87.62347479071947,41.82699317720908
17-34-219-150-1213,DOUGLAS,-87.60982043539205,41.83183517544448
17-33-423-023-4076,DOUGLAS,-87.62713290912751,41.83073434249028
17-34-219-150-1299,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-302-014-0000,DOUGLAS,-87.6228137673071,41.83019709963876
17-33-207-049-0000,DOUGLAS,-87.62745059688692,41.83684766975396
17-34-428-001-0000,DOUGLAS,-87.61400860348698,41.82557498771649
17-34-309-109-1003,DOUGLAS,-87.62086946587061,41.8298716344891
17-34-219-150-1051,DOUGLAS,-87.60982043539205,41.83183517544448
17-27-310-093-1443,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-305-140-1133,DOUGLAS,-87.62145362762868,41.84519077284946
17-27-310-093-1212,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-219-150-1427,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-219-150-1151,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-219-150-1257,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-122-115-1002,DOUGLAS,-87.61849435280138,41.83250495502177
17-34-327-011-0000,DOUGLAS,-87.61797596765875,41.82456280248517
17-34-312-068-0000,DOUGLAS,-87.61773517873387,41.828754867965
17-34-306-049-0000,DOUGLAS,-87.6261826418397,41.82856549938548
17-34-103-055-0000,DOUGLAS,-87.62152058539291,41.83697641394571
17-34-225-003-1269,DOUGLAS,-87.61216093417855,41.835709439299855
17-27-310-093-1522,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-304-122-0000,DOUGLAS,-87.62303467861001,41.843064957335145
17-34-219-150-1040,DOUGLAS,-87.60982043539205,41.83183517544448
17-33-214-021-0000,DOUGLAS,-87.62840870618288,41.83595407284167
17-34-328-009-0000,DOUGLAS,-87.62417084423511,41.82711817392132
17-34-219-133-0000,DOUGLAS,-87.61109452303809,41.83406477646308
17-34-120-003-0000,DOUGLAS,-87.62147412733542,41.83406678644416
17-33-423-023-4014,DOUGLAS,-87.62713290912751,41.83073434249028
17-34-219-150-1334,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-105-051-0000,DOUGLAS,-87.61911559539368,41.837528751078814
17-33-423-022-4000,DOUGLAS,-87.62685014528044,41.83025464641525
17-27-301-029-0000,DOUGLAS,-87.6240848658682,41.84516542392071
17-34-327-047-1004,DOUGLAS,-87.61760207990389,41.82485816857229
17-27-310-093-1048,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-305-140-1200,DOUGLAS,-87.62145362762868,41.84519077284946
17-34-310-091-0000,DOUGLAS,-87.61962114517198,41.82832186755802
17-34-104-047-0000,DOUGLAS,-87.62024794596556,41.837194510590095
17-34-103-074-1012,DOUGLAS,-87.62154594725129,41.8380917408505
17-34-219-150-1219,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-320-013-0000,DOUGLAS,-87.6252738869366,41.82593152304935
17-34-103-074-1042,DOUGLAS,-87.62154594725129,41.8380917408505
17-27-310-093-1242,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-500-010-0000,DOUGLAS,-87.62597961829002,41.8348228980048
17-27-310-093-1304,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-310-093-1312,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-301-027-0000,DOUGLAS,-87.6249297200456,41.84348415824563
17-34-103-074-1029,DOUGLAS,-87.62154594725129,41.8380917408505
17-34-119-011-0000,DOUGLAS,-87.62282348003014,41.83186769218084
17-27-301-035-0000,DOUGLAS,-87.62406202713674,41.84421638888121
17-27-321-035-0000,DOUGLAS,-87.61779396373142,41.838964040597176
17-34-225-003-1075,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-322-017-0000,DOUGLAS,-87.6243627233349,41.82474822713203
17-34-102-051-1074,DOUGLAS,-87.62267010705712,41.83683249550295
17-34-219-150-1048,DOUGLAS,-87.60982043539205,41.83183517544448
17-27-310-093-1418,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-310-093-1056,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-225-003-1070,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-219-150-1407,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-300-032-0000,DOUGLAS,-87.62544455750675,41.82982618225093
17-34-110-037-0000,DOUGLAS,-87.62099153723628,41.83553365794987
17-34-120-067-0000,DOUGLAS,-87.62092417626522,41.83255453342622
17-34-103-074-1027,DOUGLAS,-87.62154594725129,41.8380917408505
17-27-305-140-1046,DOUGLAS,-87.62145362762868,41.84519077284946
17-27-310-093-1157,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-122-121-0000,DOUGLAS,-87.61900554168348,41.83229522334747
17-27-321-007-0000,DOUGLAS,-87.61787393608802,41.83993975302857
17-34-102-050-0000,DOUGLAS,-87.62230537211278,41.83692833852374
17-27-310-093-1035,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-123-043-0000,DOUGLAS,-87.61778113208547,41.83190974318535
17-34-310-052-0000,DOUGLAS,-87.62012354219686,41.82771989124349
17-27-306-028-0000,DOUGLAS,-87.61997065524872,41.84304216617205
17-34-219-150-1034,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-403-053-0000,DOUGLAS,-87.61240181452725,41.8290753915734
17-34-105-007-0000,DOUGLAS,-87.61912111493942,41.83778652598867
17-34-301-025-0000,DOUGLAS,-87.62378307596704,41.83018692209992
17-27-300-060-1002,DOUGLAS,-87.62596071463251,41.84529828340896
17-27-407-061-0000,DOUGLAS,-87.61634000999405,41.83927764027607
17-34-312-035-0000,DOUGLAS,-87.61816381986749,41.828473725944654
17-34-225-003-1210,DOUGLAS,-87.61216093417855,41.835709439299855
17-27-305-140-1063,DOUGLAS,-87.62145362762868,41.84519077284946
17-27-310-089-0000,DOUGLAS,-87.6229801662738,41.84194603545223
17-34-122-131-0000,DOUGLAS,-87.61899295550805,41.83168289850343
17-27-305-140-1141,DOUGLAS,-87.62145362762868,41.84519077284946
17-34-306-029-0000,DOUGLAS,-87.62539845563398,41.828236836848006
17-33-423-020-4000,DOUGLAS,-87.62724277781336,41.8304366192146
17-27-301-037-0000,DOUGLAS,-87.6240582177604,41.84405965369419
17-34-219-150-1130,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-310-050-0000,DOUGLAS,-87.62012647657191,41.82785738332231
17-34-106-032-1031,DOUGLAS,-87.61791130221896,41.83804538048744
17-34-219-150-1065,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-312-074-0000,DOUGLAS,-87.61772497161498,41.82821843560764
17-27-305-130-0000,DOUGLAS,-87.62199602972073,41.8443249775082
17-34-225-003-1094,DOUGLAS,-87.61216093417855,41.835709439299855
17-34-310-135-1007,DOUGLAS,-87.62016852877163,41.82984095296925
17-34-308-036-0000,DOUGLAS,-87.62273716054118,41.82819966452718
17-34-312-081-0000,DOUGLAS,-87.61774585297749,41.82777902028359
17-34-400-089-0000,DOUGLAS,-87.61542576553835,41.83068943548023
17-34-219-150-1102,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-219-150-1295,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-309-129-0000,DOUGLAS,-87.6209872322837,41.827777362771975
17-27-310-093-1475,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-304-175-0000,DOUGLAS,-87.62242414375166,41.843749411733576
17-34-310-048-0000,DOUGLAS,-87.62012856411123,41.82795514645301
17-27-305-128-0000,DOUGLAS,-87.62184250727854,41.84457389218065
17-34-400-085-0000,DOUGLAS,-87.6164998615774,41.82846744544732
17-34-104-023-0000,DOUGLAS,-87.61976779288025,41.8376007912408
17-34-311-020-0000,DOUGLAS,-87.61893059004481,41.82864399060147
17-34-123-036-0000,DOUGLAS,-87.61779147798372,41.8323892570582
17-34-113-009-0000,DOUGLAS,-87.61786660413392,41.83597107255162
17-27-310-093-1672,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-310-023-0000,DOUGLAS,-87.62015790266997,41.829341197471805
17-34-103-058-1003,DOUGLAS,-87.62097336935715,41.83698490636289
